"","PD","SR","cellid"
"4865",281.82917092,1,"4865"
"4866",281.82917092,1,"4866"
"4867",281.82917092,1,"4867"
"4868",281.82917092,1,"4868"
"4869",281.82917092,1,"4869"
"4870",281.82917092,1,"4870"
"4871",281.82917092,1,"4871"
"4872",281.82917092,1,"4872"
"4873",281.82917092,1,"4873"
"4874",281.82917092,1,"4874"
"4875",281.82917092,1,"4875"
"4961",281.82917092,1,"4961"
"4996",281.82917092,1,"4996"
"4997",281.82917092,1,"4997"
"4998",281.82917092,1,"4998"
"4999",281.82917092,1,"4999"
"5000",281.82917092,1,"5000"
"5001",281.82917092,1,"5001"
"5002",281.82917092,1,"5002"
"5003",281.82917092,1,"5003"
"5004",281.82917092,1,"5004"
"5005",281.82917092,1,"5005"
"5006",281.82917092,1,"5006"
"5007",281.82917092,1,"5007"
"5008",281.82917092,1,"5008"
"5009",281.82917092,1,"5009"
"5010",281.82917092,1,"5010"
"5011",281.82917092,1,"5011"
"5012",281.82917092,1,"5012"
"5013",281.82917092,1,"5013"
"5014",281.82917092,1,"5014"
"5015",281.82917092,1,"5015"
"5016",281.82917092,1,"5016"
"5017",281.82917092,1,"5017"
"5068",281.82917092,1,"5068"
"5069",281.82917092,1,"5069"
"5070",281.82917092,1,"5070"
"5071",281.82917092,1,"5071"
"5072",281.82917092,1,"5072"
"5073",281.82917092,1,"5073"
"5074",281.82917092,1,"5074"
"5075",281.82917092,1,"5075"
"5076",281.82917092,1,"5076"
"5077",281.82917092,1,"5077"
"5078",281.82917092,1,"5078"
"5079",281.82917092,1,"5079"
"5080",281.82917092,1,"5080"
"5081",281.82917092,1,"5081"
"5082",281.82917092,1,"5082"
"5083",281.82917092,1,"5083"
"5084",281.82917092,1,"5084"
"5085",281.82917092,1,"5085"
"5086",281.82917092,1,"5086"
"5087",281.82917092,1,"5087"
"5088",281.82917092,1,"5088"
"5089",281.82917092,1,"5089"
"5090",281.82917092,1,"5090"
"5091",281.82917092,1,"5091"
"5092",281.82917092,1,"5092"
"5127",281.82917092,1,"5127"
"5128",281.82917092,1,"5128"
"5129",281.82917092,1,"5129"
"5130",281.82917092,1,"5130"
"5131",281.82917092,1,"5131"
"5132",281.82917092,1,"5132"
"5133",281.82917092,1,"5133"
"5134",281.82917092,1,"5134"
"5135",281.82917092,1,"5135"
"5136",281.82917092,1,"5136"
"5137",281.82917092,1,"5137"
"5138",281.82917092,1,"5138"
"5139",281.82917092,1,"5139"
"5140",281.82917092,1,"5140"
"5141",281.82917092,1,"5141"
"5142",281.82917092,1,"5142"
"5143",281.82917092,1,"5143"
"5144",281.82917092,1,"5144"
"5145",281.82917092,1,"5145"
"5146",281.82917092,1,"5146"
"5147",281.82917092,1,"5147"
"5148",281.82917092,1,"5148"
"5149",281.82917092,1,"5149"
"5150",281.82917092,1,"5150"
"5151",281.82917092,1,"5151"
"5152",281.82917092,1,"5152"
"5153",281.82917092,1,"5153"
"5154",281.82917092,1,"5154"
"5155",281.82917092,1,"5155"
"5156",281.82917092,1,"5156"
"5157",281.82917092,1,"5157"
"5158",281.82917092,1,"5158"
"5159",281.82917092,1,"5159"
"5160",281.82917092,1,"5160"
"5199",281.82917092,1,"5199"
"5200",281.82917092,1,"5200"
"5201",281.82917092,1,"5201"
"5202",281.82917092,1,"5202"
"5203",281.82917092,1,"5203"
"5204",281.82917092,1,"5204"
"5205",281.82917092,1,"5205"
"5206",281.82917092,1,"5206"
"5207",281.82917092,1,"5207"
"5208",281.82917092,1,"5208"
"5209",281.82917092,1,"5209"
"5210",281.82917092,1,"5210"
"5211",281.82917092,1,"5211"
"5212",281.82917092,1,"5212"
"5213",281.82917092,1,"5213"
"5214",281.82917092,1,"5214"
"5215",281.82917092,1,"5215"
"5216",281.82917092,1,"5216"
"5217",281.82917092,1,"5217"
"5218",281.82917092,1,"5218"
"5219",281.82917092,1,"5219"
"5220",281.82917092,1,"5220"
"5221",281.82917092,1,"5221"
"5222",281.82917092,1,"5222"
"5223",281.82917092,1,"5223"
"5258",281.82917092,1,"5258"
"5259",281.82917092,1,"5259"
"5260",281.82917092,1,"5260"
"5261",281.82917092,1,"5261"
"5262",281.82917092,1,"5262"
"5263",281.82917092,1,"5263"
"5264",281.82917092,1,"5264"
"5265",281.82917092,1,"5265"
"5266",281.82917092,1,"5266"
"5267",281.82917092,1,"5267"
"5268",281.82917092,1,"5268"
"5269",281.82917092,1,"5269"
"5270",281.82917092,1,"5270"
"5271",281.82917092,1,"5271"
"5272",281.82917092,1,"5272"
"5273",281.82917092,1,"5273"
"5274",281.82917092,1,"5274"
"5275",281.82917092,1,"5275"
"5276",281.82917092,1,"5276"
"5277",281.82917092,1,"5277"
"5278",281.82917092,1,"5278"
"5279",281.82917092,1,"5279"
"5280",281.82917092,1,"5280"
"5281",281.82917092,1,"5281"
"5282",281.82917092,1,"5282"
"5283",281.82917092,1,"5283"
"5284",281.82917092,1,"5284"
"5285",281.82917092,1,"5285"
"5286",281.82917092,1,"5286"
"5287",281.82917092,1,"5287"
"5288",281.82917092,1,"5288"
"5289",281.82917092,1,"5289"
"5290",281.82917092,1,"5290"
"5291",281.82917092,1,"5291"
"5292",281.82917092,1,"5292"
"5293",281.82917092,1,"5293"
"5294",281.82917092,1,"5294"
"5295",281.82917092,1,"5295"
"5296",281.82917092,1,"5296"
"5297",281.82917092,1,"5297"
"5329",281.82917092,1,"5329"
"5330",281.82917092,1,"5330"
"5331",281.82917092,1,"5331"
"5332",281.82917092,1,"5332"
"5333",281.82917092,1,"5333"
"5334",281.82917092,1,"5334"
"5335",281.82917092,1,"5335"
"5336",281.82917092,1,"5336"
"5337",281.82917092,1,"5337"
"5338",281.82917092,1,"5338"
"5339",281.82917092,1,"5339"
"5340",281.82917092,1,"5340"
"5341",281.82917092,1,"5341"
"5342",281.82917092,1,"5342"
"5343",281.82917092,1,"5343"
"5344",281.82917092,1,"5344"
"5345",281.82917092,1,"5345"
"5346",281.82917092,1,"5346"
"5347",281.82917092,1,"5347"
"5348",281.82917092,1,"5348"
