FID,id_no,binomial,presence,origin,seasonal,compiler,year,citation,source,dist_comm,island,subspecies,subpop,legend,tax_comm,kingdom_na,phylum_nam,class_name,order_name,family_nam,genus_name,species_na,code,Shape_Leng,Shape_Area,area
44,39342.000000000000000,Lamna ditropis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,ditropis,LC,1731.718750840000000,2794.088951239999900,23977600.0000000
168,11200.000000000000000,Lamna nasus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Lamna,nasus,VU,4914.257276829999700,12455.128592999999000,101209000.0000000
404,39370.000000000000000,Carcharhinus falciformis,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,falciformis,NT,4939.484985449999800,14048.894306400000000,166652000.0000000
506,39337.000000000000000,Pseudocarcharias kamoharai,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,PSEUDOCARCHARIIDAE,Pseudocarcharias,kamoharai,NT,4083.745108529999900,12982.653786900000000,153980000.0000000
513,39336.000000000000000,Odontaspis noronhai,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ODONTASPIDIDAE,Odontaspis,noronhai,DD,4536.091558379999700,15244.330051100000000,179615008.0000000
593,60210.000000000000000,Euprotomicrus bispinatus,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,DALATIIDAE,Euprotomicrus,bispinatus,LC,5477.276232700000000,20327.824837900000000,230220992.0000000
654,4292.000000000000000,Cetorhinus maximus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,CETORHINIDAE,Cetorhinus,maximus,VU,6665.176324889999700,13588.133559000000000,134570000.0000000
776,19488.000000000000000,Rhincodon typus,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,ORECTOLOBIFORMES,RHINCODONTIDAE,Rhincodon,typus,VU,4962.088840530000200,14501.546912000000000,171347008.0000000
835,39339.000000000000000,Alopias vulpinus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,vulpinus,VU,7949.336288730000000,24007.831982299998000,264335008.0000000
880,39338.000000000000000,Megachasma pelagios,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2015,IUCN Shark Specialist Group, , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,MEGACHASMIDAE,Megachasma,pelagios,LC,4824.818390620000200,17305.329469500000000,201282000.0000000
1108,161597.000000000000000,Alopias pelagicus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,pelagicus,VU,3709.989648849999900,10159.433899100000000,121058000.0000000
1114,60225.000000000000000,Isurus paucus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Isurus,paucus,VU,5489.003662899999700,15905.857460900001000,185180992.0000000
1121,39374.000000000000000,Carcharhinus longimanus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,longimanus,VU,5364.391387069999800,15319.626545100000000,180120992.0000000
1123,39381.000000000000000,Prionace glauca,1,1,1,IUCN,2009,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Prionace,glauca,NT,7375.224713280000300,25614.629301100002000,278304000.0000000
1185,3855.000000000000000,Carcharodon carcharias,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Carcharodon,carcharias,VU,8160.045717310000300,25538.011863399999000,277804992.0000000
1355,161696.000000000000000,Alopias superciliosus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,ALOPIIDAE,Alopias,superciliosus,VU,5330.458360290000200,16411.952314999999000,191352992.0000000
1369,39341.000000000000000,Isurus oxyrinchus,1,1,1,IUCN,0,International Union for Conservation of Nature (IUCN), , , , , ,Extant (resident), ,ANIMALIA,CHORDATA,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,Isurus,oxyrinchus,VU,6617.412785990000000,19546.005143300001000,222564992.0000000
