"","PD","SR","cellid"
"3778",214.4669075767,1,"3778"
"3909",214.4669075767,1,"3909"
"3910",214.4669075767,1,"3910"
"4040",214.4669075767,1,"4040"
"4041",214.4669075767,1,"4041"
"4172",214.4669075767,1,"4172"
"4173",214.46690857,1,"4173"
"4304",214.46690857,1,"4304"
"4387",214.4669075767,1,"4387"
"4388",214.4669075767,1,"4388"
"4435",214.46690857,1,"4435"
"4518",214.4669075767,1,"4518"
"4539",214.4669075717,1,"4539"
"4661",214.4669075767,1,"4661"
"4670",214.4669075717,1,"4670"
"4791",214.4669075767,1,"4791"
"4801",214.4669075717,1,"4801"
"4897",214.4669075717,1,"4897"
"5027",214.4669075717,1,"5027"
"5028",214.4669075717,1,"5028"
"5029",214.4669075717,1,"5029"
"5158",214.4669075717,1,"5158"
"5159",228.4534454817,2,"5159"
"5160",228.4534454817,2,"5160"
"5289",228.4534454817,2,"5289"
"5290",228.4534454817,2,"5290"
"5291",228.4534454817,2,"5291"
"5420",214.4669075717,1,"5420"
"5421",228.4534454817,2,"5421"
"5422",228.4534454817,2,"5422"
"5423",228.4534454817,2,"5423"
"5425",228.4534454817,2,"5425"
"5426",214.4669075717,1,"5426"
"5551",214.4669075717,1,"5551"
"5552",228.4534454817,2,"5552"
"5553",228.4534454817,2,"5553"
"5554",228.4534454817,2,"5554"
"5555",228.4534454817,2,"5555"
"5556",228.4534454817,2,"5556"
"5683",228.4534454817,2,"5683"
"5684",228.4534454817,2,"5684"
"5685",228.4534454817,2,"5685"
"5687",228.4534454817,2,"5687"
"5688",228.4534454817,2,"5688"
"5815",228.4534454817,2,"5815"
"5818",228.4534454817,2,"5818"
"5943",214.4669075672,1,"5943"
"6073",446.2079212709,4,"6073"
"6074",613.7317658106,5,"6074"
"6204",707.3812940153,5,"6204"
"6205",816.8479165643,10,"6205"
"6206",514.0559935125,8,"6206"
"6207",214.4669075672,1,"6207"
"6208",214.4669075672,1,"6208"
"6214",344.9841804662,2,"6214"
"6334",721.2184974453,6,"6334"
"6335",742.3277804035,7,"6335"
"6336",812.9250695404,12,"6336"
"6337",436.6907525656,8,"6337"
"6338",297.9741195972,5,"6338"
"6339",214.4669075672,1,"6339"
"6343",344.9841804662,2,"6343"
"6344",344.9841804662,2,"6344"
"6373",214.4669085714,1,"6373"
"6399",286.5341729739,3,"6399"
"6465",767.7103337783,7,"6465"
"6466",713.0279215133,6,"6466"
"6467",678.7928263213,7,"6467"
"6468",799.0878661104,11,"6468"
"6469",458.8154561384,9,"6469"
"6470",297.9741195972,5,"6470"
"6474",214.46690857,1,"6474"
"6475",344.9841804662,2,"6475"
"6476",344.9841804662,2,"6476"
"6505",231.3118267854,2,"6505"
"6595",214.4669075672,1,"6595"
"6596",629.4499923474,5,"6596"
"6597",614.4405505294,6,"6597"
"6598",810.9383976964,11,"6598"
"6599",534.1058851615,10,"6599"
"6600",444.3152677764,8,"6600"
"6605",344.9841804662,2,"6605"
"6606",344.9841804662,2,"6606"
"6635",231.3118267854,2,"6635"
"6636",231.3118267854,2,"6636"
"6660",214.4669075779,1,"6660"
"6661",286.5341729739,3,"6661"
"6662",214.4669075779,1,"6662"
"6727",769.6970056223,8,"6727"
"6728",428.9338171622,2,"6728"
"6729",812.9250695404,12,"6729"
"6730",812.9250695405,12,"6730"
"6731",529.3804201496,11,"6731"
"6732",517.8092647174,10,"6732"
"6766",236.4284446794,3,"6766"
"6767",231.3118267854,2,"6767"
"6768",214.4669075767,1,"6768"
"6792",286.5341729739,3,"6792"
"6793",286.5341729739,3,"6793"
"6795",214.4669075779,1,"6795"
"6857",672.3288771163,5,"6857"
"6858",561.4377609034,4,"6858"
"6859",726.6375537483,10,"6859"
"6860",844.9459216934,13,"6860"
"6861",812.9250695405,12,"6861"
"6862",524.0219529366,11,"6862"
"6863",214.4669075672,1,"6863"
"6895",214.4669075767,1,"6895"
"6896",236.4284446794,3,"6896"
"6898",214.4669075767,1,"6898"
"6922",214.4669075779,1,"6922"
"6923",286.5341729739,3,"6923"
"6926",214.4669075779,1,"6926"
"6989",769.6970056223,8,"6989"
"6991",730.1744864483,10,"6991"
"6992",862.591733326,14,"6992"
"6993",514.8802317876,10,"6993"
"6994",292.4505150534,4,"6994"
"7027",231.3118267854,2,"7027"
"7028",236.4284446794,3,"7028"
"7029",231.3118267854,2,"7029"
"7049",214.4669075747,1,"7049"
"7054",648.9301236719,7,"7054"
"7055",214.4669075747,1,"7055"
"7057",282.2256977212,2,"7057"
"7119",782.0124839423,8,"7119"
"7120",559.4510890594,3,"7120"
"7122",856.1773023154,14,"7122"
"7123",828.5842093291,12,"7123"
"7124",292.4505150534,4,"7124"
"7125",214.4669075672,1,"7125"
"7158",236.4284446794,3,"7158"
"7159",236.4284446794,3,"7159"
"7179",214.4669075747,1,"7179"
"7184",641.9377193366,5,"7184"
"7185",978.7945201952,8,"7185"
"7186",301.2620130909,4,"7186"
"7187",214.4669075747,1,"7187"
"7188",284.9096288052,3,"7188"
"7223",214.4669075779,1,"7223"
"7251",782.0124839423,8,"7251"
"7253",612.4538786854,5,"7253"
"7254",1074.3558661833,15,"7254"
"7255",551.7516967941,11,"7255"
"7256",214.4669075672,1,"7256"
"7281",214.46690858,1,"7281"
"7285",214.46690857,1,"7285"
"7289",214.4669075767,1,"7289"
"7290",236.4284446794,3,"7290"
"7311",214.4669075747,1,"7311"
"7316",1077.76222098378,9,"7316"
"7317",945.65115404378,7,"7317"
"7318",214.4669075747,1,"7318"
"7319",299.6374689222,4,"7319"
"7381",736.6811529083,6,"7381"
"7382",623.8033648494,4,"7382"
"7384",1031.2243245495,12,"7384"
"7385",828.5842093271,12,"7385"
"7386",214.4669075672,1,"7386"
"7412",214.46690858,1,"7412"
"7415",214.46690857,1,"7415"
"7416",214.46690857,1,"7416"
"7420",236.4284446794,3,"7420"
"7421",236.4284446794,3,"7421"
"7441",214.4669075747,1,"7441"
"7446",677.45510323318,6,"7446"
"7447",1040.57642927178,8,"7447"
"7448",801.64581133948,7,"7448"
"7449",214.4669075747,1,"7449"
"7450",282.2256987219,2,"7450"
"7486",843.28248632378,6,"7486"
"7513",782.0124839423,8,"7513"
"7515",947.6463953836,11,"7515"
"7516",1091.1726375473,17,"7516"
"7517",766.2186053811,12,"7517"
"7543",214.46690858,1,"7543"
"7547",214.46690857,1,"7547"
"7573",971.02905613903,10,"7573"
"7578",1010.00342983978,8,"7578"
"7579",1040.57642927178,8,"7579"
"7580",648.9301236652,7,"7580"
"7581",214.4669075747,1,"7581"
"7616",843.28248632378,6,"7616"
"7643",438.6363151561,4,"7643"
"7644",623.8033648494,4,"7644"
"7646",1036.8097152915,13,"7646"
"7647",1085.5872468053,16,"7647"
"7648",214.4669075672,1,"7648"
"7703",1448.89081883551,18,"7703"
"7708",638.5312039819,5,"7708"
"7709",1010.00342983978,8,"7709"
"7710",1111.01915049908,10,"7710"
"7711",434.4632160809,6,"7711"
"7712",214.4669075747,1,"7712"
"7747",214.4669075747,1,"7747"
"7748",843.28248632378,6,"7748"
"7775",791.1542050913,9,"7775"
"7776",214.4669085752,1,"7776"
"7778",1318.0550809235,18,"7778"
"7779",830.5708811731,13,"7779"
"7780",214.4669075672,1,"7780"
"7834",1448.89081883941,18,"7834"
"7835",1448.89081883941,18,"7835"
"7840",1010.00342983978,8,"7840"
"7841",1067.34285511558,9,"7841"
"7842",1112.64369466778,10,"7842"
"7843",431.7792849969,5,"7843"
"7878",843.28248632378,6,"7878"
"7906",623.8033648494,4,"7906"
"7908",523.0697961737,4,"7908"
"7909",1390.4654156593,21,"7909"
"7910",1140.7378625753,15,"7910"
"7964",657.30078228703,6,"7964"
"7965",1432.80795944141,18,"7965"
"7966",703.16107220603,7,"7966"
"7970",214.4669075747,1,"7970"
"7971",1077.76222098378,9,"7971"
"7972",891.99941468358,5,"7972"
"7973",1194.83470980508,13,"7973"
"7974",214.4669075747,1,"7974"
"8009",214.4669075747,1,"8009"
"8037",782.0124839423,8,"8037"
"8038",214.4669085752,1,"8038"
"8040",1362.2194853556,18,"8040"
"8041",1381.9634679886,19,"8041"
"8042",914.4735403533,13,"8042"
"8096",1451.27038597041,19,"8096"
"8097",1451.27038597041,19,"8097"
"8102",214.4669075747,1,"8102"
"8103",1084.75462531908,11,"8103"
"8104",1092.89109680258,9,"8104"
"8105",1107.76031104408,11,"8105"
"8168",900.3993113033,10,"8168"
"8170",985.6515483489,7,"8170"
"8171",1638.8510651627,20,"8171"
"8172",1400.5969491829,20,"8172"
"8173",214.4669075672,1,"8173"
"8226",1728.48344874251,19,"8226"
"8227",1482.77870847661,16,"8227"
"8228",517.83969746383,7,"8228"
"8232",214.4669075747,1,"8232"
"8233",214.4669075747,1,"8233"
"8234",1141.86688910308,12,"8234"
"8235",1091.92261719858,8,"8235"
"8236",214.4669075747,1,"8236"
"8271",214.4669075747,1,"8271"
"8299",789.4012971833,8,"8299"
"8301",214.466906576,1,"8301"
"8302",214.466906576,1,"8302"
"8303",1532.3904891367,18,"8303"
"8304",1817.9885036628,26,"8304"
"8357",1742.74178292201,20,"8357"
"8358",1577.70398470761,17,"8358"
"8359",1759.13160710441,21,"8359"
"8360",214.4669075667,1,"8360"
"8364",214.4669075747,1,"8364"
"8365",214.4669075747,1,"8365"
"8366",1178.71772271478,11,"8366"
"8367",1201.11254398478,12,"8367"
"8430",1369.8876315697,14,"8430"
"8432",214.466906576,1,"8432"
"8433",1332.4837405169,10,"8433"
"8434",2083.5677207827,24,"8434"
"8435",1418.8858032369,18,"8435"
"8487",1788.12666890111,20,"8487"
"8488",1729.98607426961,20,"8488"
"8489",1470.97273809801,15,"8489"
"8490",2077.52686037638,24,"8490"
"8494",214.4669075747,1,"8494"
"8495",214.4669075747,1,"8495"
"8496",869.2928816692,8,"8496"
"8497",1236.09345535388,12,"8497"
"8498",1208.35255599678,12,"8498"
"8533",428.93381415,2,"8533"
"8561",374.2840383592,3,"8561"
"8563",214.466906576,1,"8563"
"8566",2190.887654512,27,"8566"
"8567",1525.1538421751,17,"8567"
"8586",214.466907549,1,"8586"
"8587",1839.73325714363,19,"8587"
"8588",343.0498844753,2,"8588"
"8589",214.4669065753,1,"8589"
"8590",214.4669065753,1,"8590"
"8612",214.4669075667,1,"8612"
"8613",1073.7915966178,7,"8613"
"8614",382.6256030255,3,"8614"
"8617",386.3262958483,4,"8617"
"8618",1714.47319169261,19,"8618"
"8619",1632.22260859941,17,"8619"
"8620",1117.80982116821,11,"8620"
"8621",428.93381815783,2,"8621"
"8622",1675.79174199768,18,"8622"
"8626",214.4669075747,1,"8626"
"8627",214.4669075747,1,"8627"
"8628",1225.39291891808,13,"8628"
"8629",1312.14001598408,15,"8629"
"8664",214.4669065753,1,"8664"
"8691",214.466908577,1,"8691"
"8692",1369.8876315697,14,"8692"
"8696",1197.4091605146,9,"8696"
"8697",2429.1567165287,29,"8697"
"8717",2109.47150625633,23,"8717"
"8718",1742.84958800293,19,"8718"
"8719",956.7458965683,6,"8719"
"8720",214.4669065753,1,"8720"
"8721",214.4669065753,1,"8721"
"8722",214.4669065753,1,"8722"
"8723",214.4669065753,1,"8723"
"8724",214.4669065753,1,"8724"
"8743",1746.74762593908,17,"8743"
"8744",1446.7154032095,12,"8744"
"8745",1322.9151126729,10,"8745"
"8746",252.1083301197,2,"8746"
"8747",386.3262958483,4,"8747"
"8748",1914.84345161508,21,"8748"
"8749",1741.44832062351,17,"8749"
"8752",2203.05980634748,25,"8752"
"8757",214.4669075747,1,"8757"
"8758",1235.28167697208,14,"8758"
"8759",1289.74519471408,14,"8759"
"8760",428.93381415,2,"8760"
"8795",428.93381415,2,"8795"
"8796",214.4669065753,1,"8796"
"8797",214.4669065753,1,"8797"
"8822",214.4669085759,1,"8822"
"8823",214.466908577,1,"8823"
"8824",941.8581310148,8,"8824"
"8826",278.546344437,4,"8826"
"8827",278.546344437,4,"8827"
"8828",2118.2298820767,20,"8828"
"8829",2545.7121465115,31,"8829"
"8848",2232.721623816,29,"8848"
"8849",2058.20746685463,22,"8849"
"8850",2323.98747854193,26,"8850"
"8851",520.2695745863,5,"8851"
"8852",214.4669065753,1,"8852"
"8853",214.4669065753,1,"8853"
"8854",214.4669065753,1,"8854"
"8855",214.4669065753,1,"8855"
"8856",214.4669065753,1,"8856"
"8857",214.4669065753,1,"8857"
"8858",214.4669065753,1,"8858"
"8873",214.4669075714,1,"8873"
"8874",1914.89344934028,17,"8874"
