"","Sinobatis_bulbicauda","Sinobatis_filicauda","Sinobatis_caerulea","Cruriraja_durbanensis","Bathyraja_smithii","Bathyraja_schroederi","Bathyraja_cousseauae","Bathyraja_richardsoni","Bathyraja_scaphiops","Rhinoraja_multispinis","Bathyraja_griseocauda","Bathyraja_maccaini","Bathyraja_ishiharai","Rhinoraja_albomaculata","Rhinoraja_macloviana","Rhinoraja_murrayi","Bathyraja_irrasa","Bathyraja_tunae","Bathyraja_shuntovi","Bathyraja_peruana","Bathyraja_longicauda","Rhinoraja_magellanica","Bathyraja_brachyurops","Bathyraja_aguja","Bathyraja_meridionalis","Bathyraja_eatonii","Irolita_waitii","Irolita_westraliensis","Notoraja_ochroderma","Notoraja_lira","Notoraja_sapphira","Notoraja_sticta","Notoraja_hirticauda","Notoraja_azurea","Insentiraja_subtilispinosa","Insentiraja_laxipella","Pavoraja_arenaria","Pavoraja_pseudonitida","Pavoraja_umbrosa","Pavoraja_mosaica","Pavoraja_nitida","Pavoraja_alleni","Brochiraja_microspinifera","Brochiraja_aenigma","Brochiraja_albilabiata","Brochiraja_leviveneta","Brochiraja_asperula","Brochiraja_spinifera","Rioraja_agassizii","Atlantoraja_castelnaui","Atlantoraja_platana","Atlantoraja_cyclophora","Arhynchobatis_asperrimus","Sympterygia_lima","Sympterygia_acuta","Sympterygia_brevicaudata","Sympterygia_bonapartii","Psammobatis_rudis","Psammobatis_lentiginosa","Psammobatis_normani","Psammobatis_rutrum","Psammobatis_parvacauda","Psammobatis_extenta","Psammobatis_scobina","Psammobatis_bergi","Anacanthobatis_marmoratus","Anacanthobatis_ori","Cruriraja_andamanica","Leucoraja_wallacei","Leucoraja_pristispina","Amblyraja_georgiana","Amblyraja_doellojuradoi","Amblyraja_frerichsi","Amblyraja_taaf","Amblyraja_robertsi","Rajella_caudaspinosa","Rajella_challengeri","Rajella_dissimilis","Rajella_sadowskii","Rajella_leopardus","Rajella_ravidula","Rajella_barnardi","Rajella_annandalei","Rajella_nigerrima","Leucoraja_compagnoi","Fenestraja_sibogae","Fenestraja_maceachrani","Neoraja_stehmanni","Malacoraja_obscura","Malacoraja_spinacidermis","Raja_velezi","Rostroraja_alba","Dipturus_doutrei","Zearaja_chilensis","Zearaja_maugeana","Dipturus_leptocaudus","Dipturus_trachydermus","Dipturus_acrobelus","Dipturus_mennii","Dipturus_endeavouri","Dipturus_wengi","Dipturus_healdi","Dipturus_cerva","Dipturus_australis","Dentiraja_lemprieri","Dentiraja_flindersi","Dipturus_apricus","Dipturus_stenorhynchus","Dipturus_innominatus","Dipturus_gudgeri","Dipturus_springeri","Dipturus_queenslandicus","Spiniraja_whitleyi","Dipturus_falloargus","Dipturus_oculus","Dipturus_lanceorostratus","Dipturus_grahami","Dipturus_polyommata","Dipturus_campbelli","Dipturus_melanospilus","Dipturus_crosnieri","Dipturus_johannisdavesi","Gurgesiella_dorsalifera","Gurgesiella_furvescens","Okamejei_leptoura","Okamejei_arafurensis","Okamejei_heemstrai","Okamejei_boesemani","Raja_straeleni","Raja_clavata","Raja_miraletus","Hypnos_monopterygius","Narcine_ornata","Narcine_rierai","Narcine_brasiliensis","Narcine_prodorsalis","Narcine_insolita","Narcine_nelsoni","Narcine_timlei","Typhlonarke_aysoni","Typhlonarke_tarakea","Heteronarce_garmani","Electrolux_addisoni","Narke_capensis","Benthobatis_kreffti","Narcine_westraliensis","Narcine_lasti","Narcine_tasmaniensis","Discopyge_tschudii","Torpedo_puelcha","Torpedo_tremens","Torpedo_fairchildi","Torpedo_marmorata","Torpedo_mackayana","Torpedo_fuscomaculata","Torpedo_torpedo","Torpedo_sinuspersici","Torpedo_bauchotae","Torpedo_nobiliana","Torpedo_macneilli","Torpedo_microdiscus","Trygonorrhina_fasciata","Zapteryx_brevirostris","Zapteryx_xyster","Aptychotrema_rostrata","Aptychotrema_timorensis","Aptychotrema_vincentiana","Rhina_ancylostoma","Rhynchobatus_australiae","Rhynchobatus_djiddensis","Rhynchobatus_springeri","Rhynchobatus_laevis","Glaucostegus_typus","Glaucostegus_thouin","Glaucostegus_granulatus","Glaucostegus_cemiculus","Anoxypristis_cuspidata","Pristis_pristis","Pristis_clavata","Pristis_zijsron","Pristis_pectinata","Rhinobatos_irvinei","Rhinobatos_sainsburyi","Rhinobatos_rhinobatos","Rhinobatos_jimbaranensis","Rhinobatos_penggali","Rhinobatos_lentiginosus","Rhinobatos_holcorhynchus","Rhinobatos_planiceps","Rhinobatos_nudidorsalis","Rhinobatos_horkelii","Rhinobatos_percellens","Rhinobatos_albomaculatus","Zanobatus_schoenleinii","Hexatrygon_bickelli","Aetobatus_narinari","Aetomylaeus_vespertilio","Aetomylaeus_nichofii","Aetomylaeus_maculatus","Pteromylaeus_bovinus","Myliobatis_chilensis","Myliobatis_aquila","Myliobatis_hamlyni","Myliobatis_tenuicaudatus","Myliobatis_goodei","Myliobatis_peruvianus","Rhinoptera_brasiliensis","Rhinoptera_neglecta","Rhinoptera_javanica","Rhinoptera_bonasus","Manta_birostris","Manta_alfredi","Mobula_thurstoni","Mobula_kuhlii","Mobula_japanica","Mobula_eregoodootenkee","Mobula_rochebrunei","Mobula_tarapacana","Mobula_hypostoma","Mobula_munkiana","Gymnura_altavela","Gymnura_natalensis","Gymnura_micrura","Gymnura_crebripunctata","Gymnura_australis","Gymnura_poecilura","Urobatis_marmoratus","Urotrygon_chilensis","Urotrygon_munda","Urotrygon_microphthalmum","Potamotrygon_constellata","Potamotrygon_motoro","Potamotrygon_scobina","Potamotrygon_orbignyi","Potamotrygon_castexi","Potamotrygon_henlei","Potamotrygon_falkneri","Potamotrygon_schuemacheri","Potamotrygon_brachyura","Potamotrygon_signata","Potamotrygon_leopoldi","Plesiotrygon_iwamae","Taeniura_lymma","Neotrygon_ningalooensis","Neotrygon_kuhlii","Neotrygon_picta","Neotrygon_leylandi","Neotrygon_annotata","Dasyatis_marianae","Dasyatis_fluviorum","Dasyatis_hypostigma","Dasyatis_parvonigra","Dasyatis_zugei","Dasyatis_thetidis","Dasyatis_centroura","Dasyatis_brevicaudata","Pteroplatytrygon_violacea","Dasyatis_guttata","Dasyatis_chrysonota","Taeniurops_grabata","Taeniurops_meyeni","Dasyatis_americana","Dasyatis_say","Dasyatis_dipterura","Dasyatis_microps","Urogymnus_asperrimus","Urogymnus_ukpam","Himantura_granulata","Himantura_polylepis","Himantura_leoparda","Himantura_undulata","Himantura_uarnak","Himantura_jenkinsii","Himantura_gerrardi","Himantura_walga","Himantura_imbricata","Himantura_astra","Himantura_toshi","Himantura_uarnacoides","Himantura_fai","Himantura_dalyensis","Himantura_hortlei","Pastinachus_solocirostris","Plesiobatis_daviesi","Trygonoptera_ovalis","Trygonoptera_personata","Trygonoptera_galba","Trygonoptera_mucosa","Trygonoptera_imitata","Trygonoptera_testacea","Urolophus_expansus","Urolophus_piperatus","Urolophus_viridis","Urolophus_deforgesi","Urolophus_paucimaculatus","Urolophus_sufflavus","Urolophus_papilio","Urolophus_cruciatus","Urolophus_gigas","Urolophus_kapalensis","Urolophus_lobatus","Urolophus_westraliensis","Urolophus_circularis","Urolophus_orarius","Urolophus_neocaledoniensis","Urolophus_bucculentus","Urolophus_flavomosaicus","Urolophus_mitosis"
"3778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
